"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","2","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest","someTest()",""
"failed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest3","someTest3()",""
"skipped","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","0","","guru.qa.tests.simple.SkippedTests","","guru.qa.tests.simple.SkippedTests","someTest","someTest()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest9","someTest9()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","2","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest1","someTest1()",""
"failed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","8","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest2","someTest2()",""
"skipped","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","0","","guru.qa.tests.simple.SkippedTests","","guru.qa.tests.simple.SkippedTests","someTest1","someTest1()",""
"failed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","11","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest4","someTest4()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","8","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest4","someTest4()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","2","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest5","someTest5()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest7","someTest7()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","5","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest6","someTest6()",""
"failed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest5","someTest5()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","3","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest8","someTest8()",""
"failed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest6","someTest6()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest3","someTest3()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest2","someTest2()",""
"passed","Mon Oct 23 16:46:13 GMT 2023","Mon Oct 23 16:46:13 GMT 2023","2","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest","someTest()",""
"failed","Mon Oct 23 16:46:12 GMT 2023","Mon Oct 23 16:46:12 GMT 2023","80","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest1","someTest1()",""
